Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.0244392106268141       50001                    0.2                      118.1                    10                       1.2321425676345825       178.24993896484375       280                      0.01882309466600418      0.9549991                
50000                    0.15184418472978803      100001                   0.3                      4990.0                   10                       1.3259263038635254       184.9112091064453        270                      0.0001386814401485026    0.9099991                
100000                   0.27382638699478573      150001                   1.4                      2079.6                   10                       1.436566948890686        186.03741455078125       268                      0.0001864924852270633    0.8649990999999999       
150000                   0.40162753734323714      200001                   0.4                      4500.3                   10                       1.393939733505249        188.74246215820312       264                      0.0027595236897468567    0.8199991                
200000                   0.5328928320937687       250001                   0.3                      4989.4                   10                       1.2166064977645874       180.2165985107422        277                      0.0017182171577587724    0.7749991                
250000                   0.6604335699478785       300001                   0.9                      3532.9                   10                       1.187279224395752        176.15904235839844       283                      0.006456418894231319     0.7299991                
300000                   0.8619546133942074       350001                   1.6                      165.3                    10                       1.2394366264343262       175.34860229492188       284                      0.003746852744370699     0.6849991                
350000                   0.9820094038380517       400001                   1.2                      145.7                    10                       1.1292519569396973       169.77232360839844       294                      0.0020414390601217747    0.6399990999999999       
400000                   1.1074494839376874       450001                   2.1                      3551.5                   10                       1.4148154258728027       185.02598571777344       270                      0.019498761743307114     0.5949991                
450000                   1.236640844742457        500001                   1.2                      4995.6                   10                       2.4139535427093506       232.47445678710938       215                      0.0038989074528217316    0.5499991                
500000                   1.4033959055609173       550001                   3.2                      3572.0                   10                       3.928570508956909        296.9941101074219        168                      0.01279553771018982      0.5049991                
550000                   1.527708762023184        600001                   7.5                      2669.5                   10                       4.534593105316162        312.8616027832031        159                      0.0035247569903731346    0.4599991                
600000                   1.6483899198638068       650001                   8.0                      857.6                    10                       5.6993021965026855       348.60137939453125       143                      0.00825501885265112      0.41499909999999995      
650000                   1.7698908791277144       700001                   11.3                     948.0                    10                       6.204380035400391        363.8029479980469        137                      0.0031121307983994484    0.3699991                
700000                   1.8923323444525402       750001                   15.1                     587.7                    10                       7.25600004196167         399.8078918457031        125                      0.009739873930811882     0.3249991                
750000                   2.017106908162435        800001                   14.1                     1892.2                   10                       8.618182182312012        449.7727966308594        110                      0.01042948104441166      0.27999910000000006      
800000                   2.142032614549001        850001                   14.3                     1907.4                   10                       9.656865119934082        486.1568298339844        102                      0.006436769850552082     0.23499910000000002      
850000                   2.2650876538621056       900001                   15.3                     595.2                    10                       11.955060005187988       559.8876953125           89                       0.005159258842468262     0.18999909999999998      
900000                   2.387693918744723        950001                   14.4                     523.5                    10                       11.844446182250977       552.7109375              90                       0.0045451875776052475    0.14499910000000002      
950000                   2.510822689599461        1000001                  12.9                     560.7                    10                       12.988092422485352       592.90478515625          84                       0.006703822407871485     0.1                      
1000000                  2.6342305453618367       1050001                  15.6                     582.2                    10                       14.921051979064941       657.2235717773438        76                       0.00369727099314332      0.1                      
1050000                  2.7573526492383746       1100001                  24.7                     888.1                    10                       15.500000953674316       671.0000610351562        74                       0.007271907292306423     0.1                      
1100000                  2.889070138865047        1150001                  27.0                     903.6                    10                       16.239444732666016       694.2393188476562        71                       0.007915005087852478     0.1                      
