Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.010918832288848029     50001                    -19.4                    700.5                    10                       -20.096149444580078      950.4808349609375        52                       0.046346090734004974     0.9549991                
50000                    0.17692812158001794      100001                   -19.1                    686.1                    10                       -20.283018112182617      925.2451782226562        53                       0.03327077627182007      0.9099991                
100000                   0.34315143730905323      150001                   -19.8                    750.2                    10                       -20.351848602294922      916.75927734375          54                       0.0021745366975665092    0.8649990999999999       
150000                   0.5095346170663834       200001                   -18.8                    839.4                    10                       -20.192312240600586      952.0962524414062        52                       0.002015703823417425     0.8199991                
200000                   0.6759601000282499       250001                   -19.7                    861.9                    10                       -20.22641372680664       934.1320190429688        53                       0.0035629866179078817    0.7749991                
250000                   0.8423224382930332       300001                   -19.7                    816.5                    10                       -20.176467895507812      970.3921508789062        51                       0.007832172326743603     0.7299991                
300000                   1.0089653909868663       350001                   -20.7                    952.7                    10                       -19.77083396911621       1041.33349609375         48                       0.006157799623906612     0.6849991                
350000                   1.1758474402957493       400001                   -19.4                    1076.2                   10                       -20.042545318603516      1056.42529296875         47                       0.0059850141406059265    0.6399990999999999       
400000                   1.3426541944344839       450001                   -18.2                    1015.8                   10                       -19.07691764831543       1251.410400390625        39                       0.0050364271737635136    0.5949991                
450000                   1.5095921371380487       500001                   -18.9                    1045.1                   10                       -18.526308059692383      1306.3419189453125       38                       0.0070620449259877205    0.5499991                
500000                   1.6777011832263735       550001                   -16.9                    1736.9                   10                       -18.400001525878906      1424.2568359375          35                       0.01124102994799614      0.5049991                
550000                   1.8462445817391078       600001                   -17.2                    1960.9                   10                       -17.741933822631836      1583.0643310546875       31                       0.0060691009275615215    0.4599991                
600000                   2.014526127179464        650001                   -15.8                    1807.9                   10                       -18.099998474121094      1631.599853515625        30                       0.00903628021478653      0.41499909999999995      
650000                   2.182688525252872        700001                   -17.7                    1754.4                   10                       -18.10344696044922       1689.069091796875        29                       0.011856632307171822     0.3699991                
700000                   2.369569878048367        750001                   -8.6                     12506.4                  10                       -16.807689666748047      1898.000244140625        26                       0.005658271722495556     0.3249991                
750000                   2.539230847226249        800001                   -15.2                    2600.7                   10                       -16.91999626159668       1979.8399658203125       25                       0.0047198450192809105    0.27999910000000006      
800000                   2.7134485328859754       850001                   -13.5                    5243.8                   10                       -16.409090042114258      2213.0908203125          22                       0.009795421734452248     0.23499910000000002      
850000                   2.8820872207482657       900001                   -15.7                    2003.7                   10                       -15.714285850524902      2366.000244140625        21                       0.010984447784721851     0.18999909999999998      
900000                   3.0610205851660837       950001                   -7.5                     7897.8                   10                       -16.5                    2414.500244140625        20                       0.01147490181028843      0.14499910000000002      
950000                   3.2450181780258816       1000001                  -6.5                     10805.4                  10                       -13.5                    3072.249755859375        16                       0.006119792349636555     0.1                      
1000000                  3.4409715553124745       1050001                  -0.9                     17676.7                  10                       -13.944442749023438      2769.833251953125        18                       0.007886981591582298     0.1                      
1050000                  3.620491669442919        1100001                  -8.6                     8239.3                   10                       -14.823530197143555      2868.823974609375        17                       0.005875620525330305     0.1                      
1100000                  3.7949288492732576       1150001                  -11.9                    5300.2                   10                       -12.0                    3230.7333984375          15                       0.008387291803956032     0.1                      
1150000                  3.979061546391911        1200001                  -7.7                     10683.4                  10                       -12.533332824707031      3230.133056640625        15                       0.00501477625221014      0.1                      
1200000                  4.162842991087172        1250001                  -7.7                     10649.8                  10                       -13.40000057220459       3285.66650390625         15                       0.008733300492167473     0.1                      
1250000                  4.343516376084752        1300001                  -1.4                     8673.4                   10                       -10.357144355773926      3521.785888671875        14                       0.004203704185783863     0.1                      
1300000                  4.535365659925673        1350001                  -1.4                     15350.3                  10                       -11.14285659790039       3453.5                   14                       0.007772711105644703     0.1                      
1350000                  4.710090854167938        1400001                  -11.2                    5436.3                   10                       -13.0625                 2986.812744140625        16                       0.005693771876394749     0.1                      
1400000                  4.8819946261247          1450001                  -8.9                     3757.0                   10                       -12.7333345413208        3238.66650390625         15                       0.00586716877296567      0.1                      
1450000                  5.062445385522312        1500001                  -2.1                     8839.3                   10                       -10.071427345275879      3543.500244140625        14                       0.006568697281181812     0.1                      
1500000                  5.234901555842823        1550001                  -6.6                     4098.3                   10                       -11.35714340209961       3553.14306640625         14                       0.009368110448122025     0.1                      
1550000                  5.411422842741013        1600001                  -0.1                     6423.7                   10                       -7.071429252624512       3441.9287109375          14                       0.009359928779304028     0.1                      
1600000                  5.591772715316878        1650001                  7.4                      8727.8                   10                       -7.642857551574707       3538.499755859375        14                       0.008890390396118164     0.1                      
1650000                  5.764739388426145        1700001                  0.8                      4538.3                   10                       -7.428571701049805       3550.7861328125          14                       0.005955098196864128     0.1                      
1700000                  5.939197896983888        1750001                  6.5                      5354.6                   10                       -3.357142925262451       3330.857177734375        14                       0.002963642356917262     0.1                      
1750000                  6.110504313707351        1800001                  4.2                      3474.7                   10                       -1.2857142686843872      3428.571533203125        14                       0.005872627254575491     0.1                      
1800000                  6.281251002815035        1850001                  9.6                      3226.3                   10                       -1.5384613275527954      3763.5390625             13                       0.0024708337150514126    0.1                      
1850000                  6.451066842675209        1900001                  15.3                     2677.2                   10                       0.6923075914382935       3777.846435546875        13                       0.003533909097313881     0.1                      
1900000                  6.622025926113128        1950001                  -5.7                     3352.1                   10                       2.8333332538604736       3933.000244140625        12                       0.003348738420754671     0.1                      
1950000                  6.79314932498667         2000001                  10.9                     3453.4                   10                       6.642856597900391        3387.785888671875        14                       0.004881517495959997     0.1                      
2000000                  6.961637945307626        2050001                  17.8                     1913.5                   10                       8.80000114440918         3231.666748046875        15                       0.0033524339087307453    0.1                      
2050000                  7.129441966745588        2100001                  19.7                     1572.3                   10                       8.0                      3202.7333984375          15                       0.00548970652744174      0.1                      
2100000                  7.297734204795625        2150001                  17.7                     1775.6                   10                       7.714286804199219        3369.64306640625         14                       0.006669225171208382     0.1                      
2150000                  7.465771744714843        2200001                  20.4                     1675.0                   10                       7.333333969116211        3306.800537109375        15                       0.0041244179010391235    0.1                      
2200000                  7.633635203242302        2250001                  19.8                     1568.8                   10                       9.9375                   3050.6875                16                       0.00459574768319726      0.1                      
2250000                  7.802739869554838        2300001                  19.5                     1754.0                   10                       12.0                     2740.611328125           18                       0.005786118563264608     0.1                      
2300000                  7.970701529251205        2350001                  18.9                     1641.3                   10                       9.294118881225586        2828.412109375           17                       0.0031045093201100826    0.1                      
2350000                  8.13898451368014         2400001                  19.1                     1784.7                   10                       12.0                     2841.353271484375        17                       0.002976123709231615     0.1                      
2400000                  8.307623595462905        2450001                  18.9                     1987.0                   10                       11.705883979797363       2897.76513671875         17                       0.0013958271592855453    0.1                      
2450000                  8.47589740925365         2500001                  18.3                     1791.3                   10                       13.388887405395508       2687.333251953125        18                       0.003204573877155781     0.1                      
2500000                  8.643940935134887        2550001                  19.7                     1648.4                   10                       12.764705657958984       2830.941162109375        17                       0.0026506148278713226    0.1                      
2550000                  8.811972432136535        2600001                  19.7                     1636.6                   10                       13.789472579956055       2579.4736328125          19                       0.0019842986948788166    0.1                      
2600000                  8.97988423883915         2650001                  19.4                     1619.2                   10                       12.823530197143555       2853.76513671875         17                       0.005916742607951164     0.1                      
2650000                  9.147767058677143        2700001                  18.2                     1627.8                   10                       11.0                     2956.875244140625        16                       0.002631904324516654     0.1                      
2700000                  9.31575356496705         2750001                  20.4                     1678.1                   10                       13.222222328186035       2749.38916015625         18                       0.0049290438182652       0.1                      
2750000                  9.48450770318508         2800001                  17.1                     2124.0                   10                       12.88888931274414        2717.888916015625        18                       0.0013395770220085979    0.1                      
2800000                  9.652559954656494        2850001                  18.7                     1696.0                   10                       13.055556297302246       2681.999755859375        18                       0.0017530686454847455    0.1                      
2850000                  9.820801409019364        2900001                  20.0                     1820.0                   10                       12.777777671813965       2764.111572265625        18                       0.0025092666037380695    0.1                      
